Date,Zip code,# in Group,# New,# Returns,Temperature,Weather,Date/Time,11201
2/23/2020,11929,2,2,,51,Sunny,2/23/2020 15:45:29,
2/23/2020,11201,4,,4,51,Sunny,2/23/2020 16:00:16,
2/23/2020,11201,2,,2,51,Sunny,2/23/2020 16:05:45,
2/23/2020,11415,3,,3,51,Sunny,2/23/2020 16:13:37,
2/23/2020,11201,2,,2,51,Sunny,2/23/2020 16:18:24,
2/23/2020,Didnt know (Adult does not speak English),4,4,,51,Sunny,2/23/2020 16:46:38,
2/25/2020,11201,4,,4,48,Cloudy/Rain,2/25/2020 15:14:04,
2/25/2020,11201,4,,4,48,Cloudy/Rain,2/25/2020 15:47:53,
2/25/2020,11201,3,,3,48,Cloudy/Rain,2/25/2020 16:01:13,
2/25/2020,11201,2,,2,48,Cloudy/Rain,2/25/2020 16:01:19,
2/25/2020,11201,2,,2,48,Cloudy/Rain,2/25/2020 16:14:26,
2/25/2020,11201,2,,2,48,Cloudy/Rain,2/25/2020 16:15:26,
2/25/2020,11201,3,,3,48,Cloudy/Rain,2/25/2020 16:21:04,
2/27/2020,11201,4,,4,42,Windy,2/27/2020 15:07:53,
2/27/2020,11201,2,,2,42,Windy,2/27/2020 15:24:56,
2/27/2020,11201,2,,2,42,Windy,2/27/2020 15:51:40,
2/27/2020,11215,3,3,,42,Windy,2/27/2020 15:57:32,
2/27/2020,11201,2,,2,42,Windy,2/27/2020 16:08:29,
2/29/2020,11213,2,,2,34,cloudy,2/29/2020 13:02:28,
2/29/2020,22309,1,1,,34,cloudy,2/29/2020 13:05:09,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 13:16:33,
2/29/2020,11238,2,,2,34,cloudy,2/29/2020 13:17:09,
2/29/2020,2130,4,4,,34,cloudy,2/29/2020 14:08:55,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 14:16:56,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 14:19:00,
2/29/2020,7840,2,2,,34,cloudy,2/29/2020 14:22:18,
2/29/2020,11201,4,,4,34,cloudy,2/29/2020 14:27:53,
2/29/2020,11201,3,,3,34,cloudy,2/29/2020 14:57:56,
2/29/2020,11201,3,1,2,34,cloudy,2/29/2020 15:00:30,
2/29/2020,10023,2,2,,34,cloudy,2/29/2020 15:05:00,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 15:25:47,
2/29/2020,11354,4,4,,34,cloudy,2/29/2020 15:27:27,
2/29/2020,France,2,2,,34,cloudy,2/29/2020 15:33:43,
2/29/2020,11231,3,,3,34,cloudy,2/29/2020 15:39:52,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 15:40:14,
2/29/2020,11201,2,,2,34,cloudy,2/29/2020 15:51:13,
2/29/2020,11201,4,4,,34,cloudy,2/29/2020 15:59:23,
2/29/2020,11201,4,,4,34,cloudy,2/29/2020 16:09:37,
2/29/2020,11581,3,,3,34,cloudy,2/29/2020 16:49:55,
