Date,Zip code,# in Group,# New,# Returns,Temperature,Weather
4/17/2016,11201,2,2,,,
4/17/2016,11201,3,3,,,
4/17/2016,11201,2,2,,,
4/17/2016,10021,4,4,,,
4/17/2016,10012,1,1,,,
4/17/2016,11214,2,2,,,
4/19/2016,11201,3,3,,70,Sunny
4/19/2016,11201,2,,2,,
4/19/2016,11201,3,,3,,
4/19/2016,11418,1,1,,,
4/19/2016,11201,2,,2,,
4/19/2016,11201,3,,3,,
4/21/2016,10280,2,2,,72,Sunny
4/21/2016,11201,1,1,,,
4/21/2016,11223,1,1,,,
4/21/2016,11201,2,,2,,
4/21/2016,11201,3,,3,,
4/21/2016,11201,3,,3,,
4/21/2016,Jamaica,2,,2,,
4/23/2016,11215,4,4,,75,Sunny
4/23/2016,11217,3,3,,,
4/23/2016,11201,3,,3,,
4/23/2016,11201,2,2,,,
4/23/2016,11232,2,2,,,
4/23/2016,36532,1,1,,,
4/23/2016,11201,5,5,,,
4/23/2016,11215,5,5,,,
4/23/2016,11201,4,4,,,
4/23/2016,11201,2,2,,,
4/23/2016,11204,2,2,,,
4/23/2016,75019,2,2,,,
4/23/2016,11201,2,2,,,
4/23/2016,11208,5,5,,,
4/23/2016,10003,4,4,,,
4/23/2016,10022,2,2,,,
4/23/2016,11231,2,2,,,
4/23/2016,11201,3,3,,,
4/23/2016,11220,1,1,,,
4/23/2016,11205,2,2,,,
4/23/2016,2467,5,5,,,
4/23/2016,10065,1,1,,,
4/23/2016,11209,3,3,,,
4/23/2016,11209,2,2,,,
4/23/2016,10009,3,3,,,
4/23/2016,11201,2,2,,,
4/23/2016,11201,3,3,,,
4/23/2016,10009,2,2,,,
4/23/2016,11205,6,6,,,
4/23/2016,11385,2,2,,,
4/23/2016,11201,3,3,,,
4/23/2016,11416,2,2,,,
4/23/2016,11201,4,4,,,
4/23/2016,11216,2,2,,,
4/23/2016,10038,3,3,,,
4/23/2016,10003,2,2,,,
4/23/2016,11224,2,2,,,
4/23/2016,11201,4,4,,,
4/23/2016,11215,3,3,,,
4/23/2016,11204,5,5,,,
4/23/2016,11201,2,2,,,
4/23/2016,11201,2,2,,,
4/23/2016,11201,4,4,,,
4/23/2016,10017,5,5,,,
4/23/2016,11209,3,3,,,
4/23/2016,11208,4,4,,,
4/23/2016,11209,5,5,,,
4/23/2016,10013,5,5,,,
4/23/2016,11218,4,4,,,
4/23/2016,11368,2,2,,,
4/23/2016,10011,2,2,,,
4/23/2016,10011,2,2,,,
4/23/2016,33019,2,2,,,
4/23/2016,10013,2,2,,,
4/23/2016,11201,2,,2,,
4/23/2016,11212,4,4,,,
4/23/2016,11209,1,1,,,
4/23/2016,11201,4,4,,,
4/23/2016,11201,2,,2,,
4/23/2016,11215,2,2,,,
4/23/2016,11209,4,4,,,
4/23/2016,11204,2,,2,,
4/23/2016,11218,2,2,,,
4/23/2016,11201,2,,2,,
4/23/2016,11201,2,2,,,
4/23/2016,10012,4,4,,,
4/23/2016,11201,2,2,,,
4/23/2016,11238,2,2,,,
4/23/2016,11203,3,3,,,
4/23/2016,11201,4,4,,,
4/23/2016,11215,2,2,,,
4/23/2016,2459,4,4,,,
4/23/2016,11238,2,2,,,
4/23/2016,11231,2,2,,,
4/23/2016,11222,4,4,,,
4/23/2016,11576,2,2,,,
4/23/2016,11201,2,2,,,
4/23/2016,11233,4,4,,,
4/23/2016,11223,5,5,,,
4/23/2016,10302,6,6,,,
4/23/2016,10994,2,2,,,
4/23/2016,11201,4,,4,,
4/23/2016,11361,2,2,,,
4/23/2016,11205,3,3,,,
4/23/2016,11236,3,3,,,
4/23/2016,11201,2,2,,,
4/23/2016,11233,3,3,,,
4/23/2016,11249,4,4,,,
4/23/2016,11205,1,1,,,
4/23/2016,11229,2,2,,,
4/23/2016,11201,2,,2,,
4/23/2016,11201,2,,2,,
4/23/2016,11201,2,2,,,
4/23/2016,11373,1,1,,,
4/23/2016,11201,4,4,,,
4/23/2016,11373,3,3,,,
