Entry Id,How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),How did you hear about Open Hours in the Environmental Education Center? (Check all that apply.),"Children's ages, if applicable.",Age appropriate?,How often do you visit and why?,Check All That Apply,Check All That Apply,Check All That Apply,Check All That Apply,Any additional comments,Surveyor,Date,Day,Time,Date Created,Created By,Last Updated,Updated By,IP Address,Last Page Accessed,Completion Status
33,Word of Mouth,,,,,,14mo,Extremely,"once per week - two weeks. its a fun place for my son, the arts and crafts are great",,Special programs during Open Hours,,,,CT,2018-08-30,Thur,4pm,2018-12-08 12:54:13,BBP Conservancy Education,,,98.116.200.159,1,1
34,,,Passerby,,,,4,Very,As often as possible. Daughters enjoys herself here.,,Special programs during Open Hours,Self-guided outdoor activities,,N/A,CT,2018-08-30,Thur,5pm,2018-12-08 12:54:49,BBP Conservancy Education,,,98.116.200.159,1,1
35,,,Passerby,,,,"5,7",Very,Just the once!,,Special programs during Open Hours,Self-guided outdoor activities,,Great resource for the park!,SA,2018-08-25,Sat,2pm,2018-12-08 12:56:20,BBP Conservancy Education,,,98.116.200.159,1,1
36,,,Passerby,,,,,Extremely,First time,Adult Programs,,,,,SA,2018-08-25,Sat,2pm,2018-12-08 12:56:45,BBP Conservancy Education,,,98.116.200.159,1,1
37,,,,BBP Website,,,"2,4",Extremely,first time visiting,,Special programs during Open Hours,,,,HM,2018-09-02,Sun,2pm,2018-12-08 12:57:19,BBP Conservancy Education,,,98.116.200.159,1,1
38,,,Passerby,,,,"4,10",Very,often,,Special programs during Open Hours,,Weekend morning classes,,S,2018-08-26,Sun,3pm,2018-12-08 12:57:51,BBP Conservancy Education,,,98.116.200.159,1,1
39,,,,,Blog/Message Board/Article,,"11,8",Extremely,First visit,,Special programs during Open Hours,Self-guided outdoor activities,,Staff was very informative and helpful,S,2018-08-26,Sun,3pm,2018-12-08 12:58:32,BBP Conservancy Education,,,98.116.200.159,1,1
40,,,Passerby,,,Other,8,Very,,,,,Weekend morning classes,,S,2018-08-26,Sun,3pm,2018-12-08 12:58:56,BBP Conservancy Education,,,98.116.200.159,1,1
41,,,Passerby,,,,3,Extremely,Once a month,,,Self-guided outdoor activities,,N/a,HM,2018-08-26,Sun,2pm,2018-12-08 12:59:23,BBP Conservancy Education,,,98.116.200.159,1,1
42,Word of Mouth,,,,,,9,Very,once (tourist),,,Self-guided outdoor activities,,,HM,2018-08-26,Sun,3pm,2018-12-08 12:59:51,BBP Conservancy Education,,,98.116.200.159,1,1
43,,,,BBP Website,,,"5,9",Very,very appropriate for 5 yr old and moderately appropriate for 9 yr old. once a month,,Special programs during Open Hours,Self-guided outdoor activities,,,HM,2018-08-26,Sun,3pm,2018-12-08 13:00:37,BBP Conservancy Education,,,98.116.200.159,1,1
44,Word of Mouth,,,,,,6,Very,5 times a year,,,,Weekend morning classes,,HM,2018-08-26,Sun,3pm,2018-12-08 13:01:00,BBP Conservancy Education,,,98.116.200.159,1,1
45,,,Passerby,,,,6,Extremely,3-4 times per month,Adult Programs,Special programs during Open Hours,Self-guided outdoor activities,,Keep up the good work.,SA,2018-08-25,Sat,3pm,2018-12-08 13:01:47,BBP Conservancy Education,,,98.116.200.159,1,1
46,Word of Mouth,,,,,,"6,7",Extremely,once - we're from Europe,,,Self-guided outdoor activities,,"Very enjoyable, thanks!",SA,2018-08-25,Sat,3pm,2018-12-08 13:02:22,BBP Conservancy Education,,,98.116.200.159,1,1
47,,,Passerby,,,,2,Very,at least once a month,,Special programs during Open Hours,Self-guided outdoor activities,,public tours,SA,2018-08-25,Sat,4pm,2018-12-08 13:02:51,BBP Conservancy Education,,,98.116.200.159,1,1
48,,,Passerby,,,,6,Extremely,1-2/year,,Special programs during Open Hours,,Weekend morning classes,,SA,2018-08-25,Sat,5pm,2018-12-08 13:03:19,BBP Conservancy Education,,,98.116.200.159,1,1
